scenario,functional,predicted_Pd_gap_kcal,Pd_signed_error_kcal,set_MAE,set_MSE,set_RMSE,delta_set_MAE,NER_frozen,overall_NER_frozen,TM_NER_frozen,delta_overall_NER_frozen,overall_rank_frozen,NER_exploratory_panel,overall_NER_exploratory_panel,TM_NER_exploratory_panel,overall_rank_exploratory_panel,delta_overall_NER_vs_current_exploratory_panel
SI_AWQZ,CAMB3LYP,17.8300455363,-2.48995446369,3.67532212112,0.165824980741,4.90507785813,-1.63750000891,0.707681911392,3.64570363733,1.81539223616,-0.00230145999585,13,0.975704462452,3.64766000632,1.84517251961,13,-0.00034509101002
SI_AWQZ,CF22D,22.5781673824,2.25816738236,3.44265878373,0.555243835559,4.53034093491,-1.49636454751,0.662882672064,1.24715400697,1.00723512656,-0.00210309809256,3,0.913938269162,1.24898652957,1.0351301929,3,-0.000270575486014
SI_AWQZ,M052X,22.6520902574,2.33209025744,8.31999333717,4.16521714137,9.85477317553,-1.49174436782,1.60201163152,1.9393967415,1.71248913158,-0.00209660456055,6,2.20874643341,1.94382546268,1.77990410957,6,0.0023321166211
SI_AWQZ,M062X,23.8751042143,3.55510421435,6.74258359798,2.30490224669,8.50490774322,-1.41530599551,1.29828197124,1.9690152733,2.25231171737,-0.001989172588,7,1.78998430293,1.97260434141,2.30694530978,7,0.00159989552652
SI_AWQZ,M08HX,28.5188424322,8.19884243219,4.03679353889,-2.4921292938,4.97526617434,-1.1250723569,0.777283098829,1.99189380451,2.19889639952,-0.00158125740931,8,1.07166592209,1.99404258424,2.23160560211,8,0.000567522322488
SI_AWQZ,MN15,21.26769241,0.947692409979,5.37933311982,2.57110593751,7.44269031175,-1.57826923328,1.03578859724,2.00765114356,1.07015084003,-0.00221821281425,9,1.42807600451,2.01051455529,1.11373832973,9,0.000645198917644
SI_AWQZ,PBE0,16.6255562238,-3.69444377616,7.10960364971,-4.5889371784,8.5606546827,-1.63750000891,1.36895154608,3.47538081048,1.57516571992,-0.00230145999585,12,1.88741878363,3.47916524287,1.63277319076,12,0.00148297239497
SI_AWQZ,PW6B95,19.2755297995,-1.04447020045,4.16535919825,-1.68736388497,5.63577851763,-1.63750000891,0.802038368859,3.27505547208,1.32854808402,-0.00230145999585,11,1.10579683182,3.27727268714,1.36229902435,11,-8.42449377525e-05
SI_AWQZ,SOGGA11X,19.1952185643,-1.12478143572,3.87802608295,2.15470466553,5.15339522775,-1.63750000891,0.746712484067,4.11255531635,1.99977641497,-0.00230145999585,14,1.02951720419,4.11461958438,2.03119916165,14,-0.000237191965757
SI_AWQZ,r2SCAN0,12.0108313458,-8.30916865421,15.4013552036,-5.34826529883,21.7488848528,-1.63750000891,2.9655252327,2.8093725373,1.62182564439,-0.00230145999585,10,4.0886677425,2.81757065781,1.74661925659,10,0.00589666051363
SI_AWQZ,wB97M-V,24.7833539598,4.46335395975,3.74717033169,-1.64157335579,4.44122869078,-1.35854038642,0.721516257693,1.07362911221,1.15859692787,-0.0019093901283,2,0.994778333358,1.0756237259,1.18895938073,2,8.52235626814e-05
SI_AWQZ,wB97X-V,22.8991443142,2.57914431418,4.76124778307,-2.78254517686,5.53228924654,-1.47630348927,0.916776494875,1.3108302186,1.23652694762,-0.00207490284202,4,1.26399008187,1.31336462435,1.27510623507,4,0.000459502902481
SI_AWQZ,revDSD-PBEP86-D4,21.0679882038,0.747988203841,2.73413867635,-0.10914865415,3.89644403005,-1.59075074617,0.52645738815,1.51972371181,1.31899895324,-0.00223575522795,5,0.725844217069,1.52117909012,1.34115304534,5,-0.00078037691467
SI_AW5Z,wB97M2,22.7156080214,1.75560802143,4.2641821033,-1.41296634251,8.00962888829,-1.50777450757,0.821066682576,0.94641335059,1.01961448588,-0.00211913446904,1,1.13003183286,0.948668570665,1.05394394702,1,0.00013608560602
SI_AW5Z,B3LYP,16.8687958387,-4.09120416126,5.84483063,1.11950231912,6.9971844546,-1.61750000891,1.12541997019,5.68888693498,2.09406861449,-0.00227335056094,16,1.54891243141,5.69197812083,2.1411233324,16,0.00081783528732
SI_AW5Z,BMK,-6.45541743184,-27.4154174318,6.64744063009,-2.0230918471,9.75387245246,-1.61750000891,1.27996222806,4.52134674795,1.95487521321,-0.00227335056094,15,1.76160851884,4.52486241431,2.00839146774,15,0.00124231579514
SI_AW5Z,CAMB3LYP,17.8300455363,-3.12995446369,3.69532212112,0.145824980741,4.91652183691,-1.61750000891,0.711532903975,3.64573174677,1.81582012423,-0.00227335056094,13,0.979280792513,3.64768611092,1.84556988962,13,-0.000318986411031
SI_AW5Z,CF22D,22.5781673824,1.61816738236,3.42265878373,0.535243835559,4.52177645303,-1.51636454751,0.659031679481,1.24712589753,1.00680723849,-0.00213120752748,3,0.907023500625,1.24893605681,1.03436188529,3,-0.000321048249051
SI_AW5Z,M052X,22.6520902574,1.69209025744,8.29999333717,4.14521714137,9.8506888455,-1.51174436782,1.59816063894,1.93936863207,1.71206124352,-0.00212471399546,6,2.19954412272,1.94375829253,1.77888163061,6,0.00226494647012
SI_AW5Z,M062X,23.8751042143,2.91510421435,6.72258359798,2.28490224669,8.49729672025,-1.43530599551,1.29443097866,1.96898716386,2.2518838293,-0.00201728202291,7,1.78152182078,1.97254257147,2.30600503398,7,0.00153812558381
SI_AW5Z,M08HX,28.5188424322,7.55884243219,4.01679353889,-2.5121292938,4.94349267302,-1.1450723569,0.773432106247,1.99186569508,2.19846851146,-0.00160936684423,8,1.06447249555,1.99399007748,2.23080633249,8,0.000515015559448
SI_AW5Z,MN15,21.26769241,0.307692409979,5.35933311982,2.55110593751,7.44100338531,-1.59826923328,1.03193760466,2.00762303412,1.06972295197,-0.00224632224916,9,1.42025290703,2.01045745239,1.11286909668,9,0.000588096016291
SI_AW5Z,PBE0,16.6255562238,-4.33444377616,7.12960364971,-4.6089371784,8.57002837495,-1.61750000891,1.37280253867,3.47540891991,1.57559360798,-0.00227335056094,12,1.88938438478,3.47917959032,1.63299159089,12,0.00149731984866
SI_AW5Z,PW6B95,19.2755297995,-1.68447020045,4.18535919825,-1.70736388497,5.64061861038,-1.61750000891,0.805889361442,3.27508358151,1.32897597208,-0.00227335056094,11,1.10914332723,3.27729711411,1.36267085717,11,-5.9817963928e-05
SI_AW5Z,SOGGA11X,19.1952185643,-1.76478143572,3.89802608295,2.13470466553,5.1589992858,-1.61750000891,0.75056347665,4.11258342578,2.00020430304,-0.00227335056094,14,1.03299846309,4.11464499502,2.0315859682,14,-0.000211781316845
SI_AW5Z,r2SCAN0,12.0108313458,-8.94916865421,15.4213552036,-5.36826529883,21.7568186802,-1.61750000891,2.96937622529,2.80940064674,1.62225353245,-0.00227335056094,10,4.08674438937,2.81755661874,1.74640555068,10,0.00588262143963
SI_AW5Z,wB97M-V,24.7833539598,3.82335395975,3.72717033169,-1.66157335579,4.42253073765,-1.37854038642,0.71766526511,1.07360100278,1.15816903981,-0.00193749956321,2,0.987720744395,1.07557221066,1.18817520418,2,3.37083147801e-05
SI_AW5Z,wB97X-V,22.8991443142,1.93914431418,4.74124778307,-2.80254517686,5.52411608629,-1.49630348927,0.912925502292,1.31080210917,1.23609905956,-0.00210301227694,4,1.25645687556,1.31330963744,1.27426921214,4,0.000404515995127
SI_AW5Z,revDSD-PBEP86-D4,21.0679882038,0.107988203841,2.71413867635,-0.12914865415,3.89424659609,-1.61075074617,0.522606395567,1.51969560237,1.31857106518,-0.00226386466286,5,0.719261754958,1.52113104295,1.34042166066,5,-0.000828424083365
PP_composite_inference,wB97M2,22.7156080214,1.32560802143,4.2507446033,-1.42640384251,8.00704384199,-1.52121200757,0.818479296934,0.946394464563,1.01932699858,-0.00213802049563,1,1.12513528107,0.948632829411,1.05339988571,1,0.000100344352053
PP_composite_inference,B3LYP,16.8687958387,-4.52120416126,5.85826813,1.10606481912,7.00544927386,-1.60406250891,1.12800735583,5.68890582101,2.09435610179,-0.00225446453436,16,1.55063283593,5.69199067852,2.14131448846,16,0.000830392984552
PP_composite_inference,BMK,-6.45541743184,-27.8454174318,6.66087813009,-2.0365293471,9.791863729,-1.60406250891,1.2825496137,4.52136563398,1.95516270051,-0.00225446453436,15,1.7630767516,4.52487313134,2.00855460472,15,0.00125303282257
